authors,year,title,venue,doi,arxiv_id,cited_by_count,is_preprint,tracks,n_tracks,relevance_note
Jussi Leinonen et al.,2020.0,Stochastic Super-Resolution for Downscaling Time-Evolving Atmospheric Fields With a Generative Adversarial Network,IEEE Transactions on Geoscience and Remote Sensing,10.1109/tgrs.2020.3032790,,186.0,False,Deep downscaling,1,"Recurrent stochastic super-resolution GAN generating ensembles of time-evolving high-resolution fields (Swiss radar precipitation, GOES-16 cloud optical thickness), evaluated with rank statistics. The origin of stochastic SR in this field."
Christopher A. T. Ferro et al.,2008.0,On the effect of ensemble size on the discrete and continuous ranked probability scores,Meteorological Applications,10.1002/met.45,,179.0,False,Verification,1,Quantifies the finite-ensemble bias in CRPS/RPS and gives the correction; the paper that made ensemble-size fairness explicit.
Rémi Lam et al.,2022.0,GraphCast: Learning skillful medium-range global weather forecasting,arXiv (Cornell University),,2212.12794,171.0,True,AI models,1,GraphCast preprint version.
Shaun Harrigan et al.,2018.0,Benchmarking ensemble streamflow prediction skill in the UK,Hydrology and earth system sciences,10.5194/hess-22-2023-2018,,169.0,False,Verification,1,"Concrete benchmarking hierarchy (climatology, persistence, raw) applied to an operational ensemble system."
Michaël Zamo et al.,2017.0,Estimation of the Continuous Ranked Probability Score with Limited Information and Applications to Ensemble Weather Forecasts,Mathematical Geosciences,10.1007/s11004-017-9709-7,,159.0,False,Verification,1,CRPS estimation from a finite ensemble is biased; quantifies the error in different CRPS estimators and warns against comparing parametric and ensemble forecasts naively.
Chris Fraley et al.,2009.0,Calibrating Multimodel Forecast Ensembles with Exchangeable and Missing Members Using Bayesian Model Averaging,Monthly Weather Review,10.1175/2009mwr3046.1,,153.0,False,Post-processing,1,Handling exchangeable and MISSING ensemble members - directly relevant to gappy station/member archives.
Simon J. Mason,2004.0,On Using “Climatology” as a Reference Strategy in the Brier and Ranked Probability Skill Scores,Monthly Weather Review,10.1175/1520-0493(2004)132<1891:oucaar>2.0.co;2,,150.0,False,Verification,1,Why 'climatology' as a reference in skill scores is ambiguous and how the choice changes the verdict.
Robert Dunn; Kate M. Willett; D. E. Parker; Lorna Mitchell,2016.0,"Expanding HadISD: quality-controlled, sub-daily station data from 1931","Geoscientific instrumentation, methods and data systems",10.5194/gi-5-473-2016,,148.0,False,Regional,1,"HadISD: quality-controlled sub-daily station data derived from ISD - the QC pipeline for exactly the archive already in use, and a check on its precipitation gaps."
Patrick Samuelsson; Ekaterina Kourzeneva; Dmitrii Mironov,,The impact of lakes on the European climate as simulated by a regional climate model,venue metadata unreliable in OpenAlex (DOI prefix 10.60910); verify at publisher,10.60910/3pj6-v2hf,,146.0,False,Regional,1,Samuelsson et al.: impact of lakes on European climate in a regional climate model (RCA + FLake) - quantifies the lake-induced 2 m temperature signal across Europe. [METADATA CAUTION: OpenAlex year/venue for this DOI are inconsistent with the work; cite from the publisher record.]
Marion Mittermaier et al.,2011.0,A long‐term assessment of precipitation forecast skill using the Fractions Skill Score,Meteorological Applications,10.1002/met.296,,143.0,False,Verification,1,Long-term FSS assessment showing how skilful scale evolves; practical guidance on neighbourhood sizes.
Martin Leutbecher,2018.0,Ensemble size: How suboptimal is less than infinity?,Quarterly Journal of the Royal Meteorological Society,10.1002/qj.3387,,131.0,False,Verification,1,Convergence of CRPS/QS/DSS with ensemble size in an operational 200-member IFS experiment; how many members you actually need.
Yingkai Sha et al.,2020.0,Deep-Learning-Based Gridded Downscaling of Surface Meteorological Variables in Complex Terrain. Part II: Daily Precipitation,Journal of Applied Meteorology and Climatology,10.1175/jamc-d-20-0058.1,,131.0,False,Deep downscaling,1,Companion Part II for daily precipitation.
Anna Rutgersson; Erik Kjellström; Jari Haapala; Martin Stendel; Irina Danilovich; Martin Drews et al.,2022.0,Natural hazards and extreme events in the Baltic Sea region,Earth System Dynamics,10.5194/esd-13-251-2022,,122.0,False,Regional,1,"Rutgersson et al.: natural hazards and extreme events in the Baltic Sea region - the regional hazard review that situates snow bands, surges and ice."
Christopher A. T. Ferro,2013.0,Fair scores for ensemble forecasts,Quarterly Journal of the Royal Meteorological Society,10.1002/qj.2270,,121.0,False,Verification,1,"Fair scores for ensemble forecasts: scores that are optimised by an ensemble sampled from the true distribution, independent of M."
Elizabeth E. Ebert et al.,2013.0,Progress and challenges in forecast verification,Meteorological Applications,10.1002/met.1392,,120.0,False,Verification,1,"Progress and challenges in forecast verification: the standard review covering observation representativeness, point-versus-grid mismatch, and spatial methods."
Ian T. Jolliffe,2007.0,Uncertainty and Inference for Verification Measures,Weather and Forecasting,10.1175/waf989.1,,119.0,False,Verification,1,Uncertainty and inference for verification measures; block/bootstrap approaches for correlated verification samples.
Laurence J. Wilson et al.,2007.0,Calibrated Surface Temperature Forecasts from the Canadian Ensemble Prediction System Using Bayesian Model Averaging,Monthly Weather Review,10.1175/mwr3347.1,,114.0,False,Post-processing,1,Early operational BMA for surface temperature over a large station network (Canada).
Swen Brands et al.,2011.0,On the Use of Reanalysis Data for Downscaling,Journal of Climate,10.1175/jcli-d-11-00251.1,,109.0,False,Deep downscaling,1,"'On the Use of Reanalysis Data for Downscaling' — the canonical entry point on reanalysis-as-predictor-source. NOTE: abstract not retrievable, cited at title level."
Kevin Höhlein et al.,2020.0,A comparative study of convolutional neural network models for wind field downscaling,Meteorological Applications,10.1002/met.1961,,106.0,False,Deep downscaling,1,"CNN/U-Net (DeepRU) downscaling of short-range 100-m WIND forecasts from ERA5 31 km to HRES 9 km, with static high-res predictors (topography, land-sea mask, roughness). Closest architectural template for a wind-focused, forecast-applied, modest-resolution-jump task."
Thomas M. Hamill,1997.0,Reliability Diagrams for Multicategory Probabilistic Forecasts,Weather and Forecasting,10.1175/1520-0434(1997)012<0736:rdfmpf>2.0.co;2,,105.0,False,Verification,1,Reliability diagrams for multicategory probabilistic forecasts.
Petter Lind; Danijel Belušić; Ole B. Christensen; Andreas Dobler; Erik Kjellström; Oskar Landgren et al.,2020.0,Benefits and added value of convection-permitting climate modeling over Fenno-Scandinavia,Climate Dynamics,10.1007/s00382-020-05359-3,,103.0,False,Regional,1,First long-term convection-permitting (3 km HCLIM) simulation over Fenno-Scandinavia: added value and where km-scale actually matters.
Christopher A. T. Ferro,2007.0,Comparing Probabilistic Forecasting Systems with the Brier Score,Weather and Forecasting,10.1175/waf1034.1,,103.0,False,Verification,1,"Comparing forecasting systems with the Brier score, including sampling uncertainty."
Øyvind Sætra et al.,2004.0,Effects of Observation Errors on the Statistics for Ensemble Spread and Reliability,Monthly Weather Review,10.1175/1520-0493(2004)132<1487:eooeot>2.0.co;2,,102.0,False,Verification,1,Observation error inflates apparent underdispersion; you must add observation-error variance before declaring an ensemble underspread.
Malte Müller; Yurii Batrak; Jørn Kristiansen; Morten A. Ø. Køltzow; Gunnar Noer; Anton Korosov,2017.0,Characteristics of a Convective-Scale Weather Forecasting System for the European Arctic,Monthly Weather Review,10.1175/mwr-d-17-0194.1,,101.0,False,Regional,1,AROME-Arctic: characteristics of a convection-permitting forecasting system for the European Arctic.
Victoria Miles; Igor Esau,2017.0,Seasonal and Spatial Characteristics of Urban Heat Islands (UHIs) in Northern West Siberian Cities,Remote Sensing,10.3390/rs9100989,,99.0,False,Regional,1,Miles & Esau: seasonal/spatial UHI characteristics in northern West Siberian cities - first systematic remote-sensing UHI study north of 60N.
M. J. Rodwell et al.,2010.0,A new equitable score suitable for verifying precipitation in numerical weather prediction,Quarterly Journal of the Royal Meteorological Society,10.1002/qj.656,,98.0,False,Verification,1,SEEPS: an equitable categorical score designed specifically to discourage hedging/smoothing in precipitation forecasts.
Douglas Maraun et al.,2018.0,Statistical downscaling skill under present climate conditions: A synthesis of the VALUE perfect predictor experiment,International Journal of Climatology,10.1002/joc.5877,,97.0,False,Deep downscaling,1,"CRITICAL for framing. Synthesis of the VALUE perfect-predictor experiment. States that MOS needs predictors near the target resolution, that PP skill depends crucially on model structure and predictor choice, that inter-annual variability is under-represented by both PP methods and weather generators, and that spatial variability is poorly represented by almost all methods."
Simon J. Mason,2008.0,Understanding forecast verification statistics,Meteorological Applications,10.1002/met.51,,88.0,False,Verification,1,Practitioner's guide to interpreting verification statistics and their sampling behaviour.
Lizao Li et al.,2024.0,Generative emulation of weather forecast ensembles with diffusion models,Science Advances,10.1126/sciadv.adk4489,,88.0,False,Deep downscaling,1,Generative diffusion emulation of forecast ensembles (SEEDS); cheap ensemble augmentation from few members.
Pertti Nurmi,1994.0,Recommendations on the verification of local weather forecasts,European Centre for Medium-Range Weather Forecasts,10.21957/dx25q07hu,,88.0,False,Verification,1,Nurmi's classic ECMWF recommendations on verifying local (station) forecasts; still the most directly applicable checklist for a station-based study.
John Bjørnar Bremnes,2019.0,Ensemble Postprocessing Using Quantile Function Regression Based on Neural Networks and Bernstein Polynomials,Monthly Weather Review,10.1175/mwr-d-19-0227.1,,84.0,False,Post-processing,1,Bernstein quantile network: neural net outputs a flexible quantile function rather than Gaussian parameters. Standard BQN benchmark.
Mikhail Varentsov; Pavel Konstantinov; Alexander Baklanov; Igor Esau; Victoria Miles; Richard Davy,2018.0,Anthropogenic and natural drivers of a strong winter urban heat island in a typical Arctic city,Atmospheric chemistry and physics,10.5194/acp-18-17573-2018,,84.0,False,Regional,1,"Varentsov et al.: winter UHI in Apatity (67.567N, 33.393E) - INSIDE the user's box. Warm anomaly up to 11 K, winter mean 1.9 K, at least 50% attributable to UHI driven mostly by direct anthropogenic heating. The quantitative anchor for an urban predictor."
Timo Dimitriadis et al.,2021.0,Stable reliability diagrams for probabilistic classifiers,Proceedings of the National Academy of Sciences,10.1073/pnas.2016191118,,82.0,False,Verification,1,"The CORP reliability diagram: isotonic-regression-based, free of binning choices, with a consistent score decomposition and uncertainty bands. Use this rather than classic binned reliability plots."
Jorge Baño‐Medina et al.,2021.0,On the suitability of deep convolutional neural networks for continental-wide downscaling of climate change projections,Climate Dynamics,10.1007/s00382-021-05847-0,,81.0,False,Deep downscaling,1,Companion to the above: takes the same CNNs from reanalysis predictors to GCM predictors and tests the two key assumptions explicitly. This is the perfect-prognosis assumption being stress-tested.
Philipp Hess et al.,2022.0,Physically constrained generative adversarial networks for improving precipitation fields from Earth system models,Nature Machine Intelligence,10.1038/s42256-022-00540-1,,81.0,False,Deep downscaling,1,Physically constrained GAN for improving ESM precipitation fields; the constraint-injection approach to keeping generative output physical.
Evgeny Atlaskin; Timo Vihma,2012.0,Evaluation of NWP results for wintertime nocturnal boundary‐layer temperatures over Europe and Finland,Quarterly Journal of the Royal Meteorological Society,10.1002/qj.1885,,80.0,False,Regional,1,Atlaskin & Vihma: NWP wintertime nocturnal boundary-layer temperature errors over Europe and Finland. The canonical statement of the stable-BL cold-bias problem at these latitudes.
Jakob W. Messner et al.,2016.0,Nonhomogeneous Boosting for Predictor Selection in Ensemble Postprocessing,Monthly Weather Review,10.1175/mwr-d-16-0088.1,,78.0,False,Post-processing,1,Boosting for predictor selection inside nonhomogeneous regression: how to add many predictors to EMOS without overfitting. The strongest classical benchmark in Rasp and Lerch.
Margarita Choulga; Ekaterina Kourzeneva; Elena Zakharova; Arkady M. Doganovsky,2014.0,Estimation of the mean depth of boreal lakes for use in numerical weather prediction and climate modelling,Tellus A Dynamic Meteorology and Oceanography,10.3402/tellusa.v66.21295,,78.0,False,Regional,1,Choulga & Kourzeneva: mean depth estimation for boreal lakes (GLDB) for NWP lake parameterisation - the ancillary data that determines how well a model treats Ladoga/Onega.
Martin Ridal; Éric Bazile; Patrick Le Moigne; Roger Randriamampianina; Semjon Schimanke; Ulf Andrae et al.,2024.0,"CERRA, the Copernicus European Regional Reanalysis system",Quarterly Journal of the Royal Meteorological Society,10.1002/qj.4764,,76.0,False,Regional,1,"CERRA system description: 5.5 km HARMONIE reanalysis, 1984-2021, pan-European domain, plus 11 km 10-member EDA and CERRA-Land surface analysis. The candidate high-resolution truth dataset for this box; free via Copernicus CDS."
Hanna K. Lappalainen; Veli‐Matti Kerminen; Tuukka Petäjä; Theo Kurtén; Alexander Baklanov; А. Shvidenko et al.,2016.0,Pan-Eurasian Experiment (PEEX): towards a holistic understanding of the feedbacks and interactions in the land–atmosphere–ocean–society continuum in the northern Eurasian region,Atmospheric chemistry and physics,10.5194/acp-16-14421-2016,,76.0,False,Regional,1,"PEEX: Pan-Eurasian Experiment framework - the main open research-infrastructure initiative covering northern Eurasia, and a route to collaborators and data."
Antoine Doury et al.,2022.0,Regional climate model emulator based on deep learning: concept and first evaluation of a novel hybrid downscaling approach,Climate Dynamics,10.1007/s00382-022-06343-9,,75.0,False,Deep downscaling,1,RCM emulator via neural network: learns the RCM's own downscaling function for near-surface temperature. The emulator framing that makes the perfect/imperfect distinction concrete.
Markus Dabernig et al.,2016.0,Spatial ensemble post‐processing with standardized anomalies,Quarterly Journal of the Royal Meteorological Society,10.1002/qj.2975,,74.0,False,Post-processing,1,"SAMOS: standardized anomalies let ONE model be fitted across many stations at once, removing site and seasonal effects. Key precursor to pooled training."
Peter F. Sheridan; Samantha Smith; A. R. Brown; Simon Vosper,2010.0,A simple height-based correction for temperature downscaling in complex terrain,Meteorological Applications,10.1002/met.177,,73.0,False,Regional,1,"Simple height-based temperature downscaling in complex terrain - the minimal baseline any station correction must beat, relevant to the -128 to +72 m station-vs-orography spread."
Geraldine Wong et al.,2014.0,Stochastic Model Output Statistics for Bias Correcting and Downscaling Precipitation Including Extremes,Journal of Climate,10.1175/jcli-d-13-00604.1,,71.0,False,Deep downscaling,1,Stochastic model output statistics for bias correction and downscaling including extremes; the stochastic-MOS template.
A. H. Winstral et al.,2016.0,Statistical Downscaling of Gridded Wind Speed Data Using Local Topography,Journal of Hydrometeorology,10.1175/jhm-d-16-0054.1,,69.0,False,Post-processing,1,Statistical downscaling of gridded wind using local topography descriptors - the terrain-predictor construction pattern.
Morteza Mardani et al.,2025.0,Residual corrective diffusion modeling for km-scale atmospheric downscaling,Communications Earth & Environment,10.1038/s43247-025-02042-5,,68.0,False,Deep downscaling,1,"CorrDiff journal version: two-step design where a U-Net predicts the conditional mean and a corrector diffusion model predicts the residual, mapping 25 km global reanalysis to 2 km regional-model output over Taiwan; recovers power-law spectra that deterministic regression loses. The reference architecture for corrective diffusion."
Stefan Siegert et al.,2016.0,Detecting Improvements in Forecast Correlation Skill: Statistical Testing and Power Analysis,Monthly Weather Review,10.1175/mwr-d-16-0037.1,,67.0,False,Verification,1,Statistical testing for improvements in correlation skill with correlated samples; the significance-testing counterpart to score differences.
Morten Køltzow; Harald Schyberg; Eivind Støylen; Xiaohua Yang,2022.0,Value of the Copernicus Arctic Regional Reanalysis (CARRA) in representing near-surface temperature and wind speed in the north-east European Arctic,Polar Research,10.33265/polar.v41.8002,,66.0,False,Regional,1,CARRA vs ERA5 against station T2m/WS10 in NE European Arctic. Quantifies representativeness error as 50-60% of total T2m MAE for BOTH reanalyses - the ceiling any downscaling of gridded fields faces. CARRA-East covers Kola but not the southern box.
Mikhail Varentsov; Timofey Samsonov; Matthias Demuzere,2020.0,Impact of Urban Canopy Parameters on a Megacity’s Modelled Thermal Environment,Atmosphere,10.3390/atmos11121349,,66.0,False,Regional,1,Varentsov et al.: urban canopy parameters in COSMO/TERRA_URB for Moscow - how much urban ancillary detail actually changes modelled temperature.
Moritz N. Lang et al.,2020.0,Remember the past: a comparison of time-adaptive training schemes for non-homogeneous regression,Nonlinear processes in geophysics,10.5194/npg-27-23-2020,,66.0,False,Post-processing,1,Time-adaptive training schemes for NGR on central-European 2m temperature; how to handle seasonality without a long archive.
Andrea K. Kaiser-Weiss; Michael Borsche; Deborah Niermann; Frank Kaspar; Cristian Lussana; Francesco Isotta et al.,2019.0,Added value of regional reanalyses for climatological applications,Environmental Research Communications,10.1088/2515-7620/ab2ec3,,65.0,False,Regional,1,"UERRA project synthesis: added value of regional reanalyses for climatology, and the uncertainty spread between three independent regional reanalysis systems."
Lily‐belle Sweet et al.,2023.0,Cross-Validation Strategy Impacts the Performance and Interpretation of Machine Learning Models,Artificial Intelligence for the Earth Systems,10.1175/aies-d-23-0026.1,,65.0,False,Verification,1,Direct demonstration that CV design changes both measured skill and model interpretation on spatiotemporal climate data; feature-space clustering CV performed best on held-out years and regions.
Kerttu Kouki; Kari Luojus; Aku Riihelä,2023.0,Evaluation of snow cover properties in ERA5 and ERA5-Land with several satellite-based datasets in the Northern Hemisphere in spring 1982–2018,The cryosphere,10.5194/tc-17-5007-2023,,65.0,False,Regional,1,Kouki et al.: snow cover properties in ERA5 and ERA5-Land vs satellite datasets - where the snow fields that drive winter surface error are wrong.
Diego Monteiro; Samuel Morin,2023.0,"Multi-decadal analysis of past winter temperature, precipitation and snow cover data in the European Alps from reanalyses, climate models and observational datasets",The cryosphere,10.5194/tc-17-3617-2023,,64.0,False,Regional,1,"Multi-decadal intercomparison of ERA5, ERA5-Land, CERRA-Land, UERRA MESCAN-SURFEX for winter temperature, precipitation, snow. Template for how to benchmark competing gridded products."
Maxime Taillardat et al.,2020.0,From research to applications – examples of operational ensemble post-processing in France using machine learning,Nonlinear processes in geophysics,10.5194/npg-27-329-2020,,63.0,False,Post-processing,1,"Meteo-France operational ML postprocessing at industrial scale, incl. station-based temperature then interpolation to grid."
Ilan Price et al.,2023.0,GenCast: Diffusion-based ensemble forecasting for medium-range weather,arXiv (Cornell University),,2312.15796,63.0,True,AI models,1,GenCast preprint.
Gian-Duri Lieberherr; Stefan Wunderle,2018.0,Lake Surface Water Temperature Derived from 35 Years of AVHRR Sensor Data for European Lakes,Remote Sensing,10.3390/rs10070990,,62.0,False,Regional,1,"35-year AVHRR lake surface water temperature for European lakes - open satellite LSWT, a way to get Ladoga/Onega surface state without institutional data."
Douglas Maraun et al.,2018.0,Cross-validation of bias-corrected climate simulations is misleading,Hydrology and earth system sciences,10.5194/hess-22-4867-2018,,61.0,False,Deep downscaling,1,"Cross-validation of bias-corrected free-running simulations is misleading: the residual bias in the validation period depends on the difference in change between calibration and validation periods, which is dominated by internal variability. Directly relevant to interpreting held-out-period scores."
A. Allen Bradley et al.,2011.0,Summary Verification Measures and Their Interpretation for Ensemble Forecasts,Monthly Weather Review,10.1175/2010mwr3305.1,,59.0,False,Verification,1,Interpretation of summary ensemble verification measures and their decompositions.
Johannes Brozovsky; Niki Gaitani; Arild Gustavsen,2020.0,A systematic review of urban climate research in cold and polar climate regions,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2020.110551,,56.0,False,Regional,1,Brozovsky et al.: systematic review of urban climate research in cold and polar climate regions - shows where the literature is concentrated and where it is absent.
Sanaa Hobeichi et al.,2023.0,Using Machine Learning to Cut the Cost of Dynamical Downscaling,Earth s Future,10.1029/2022ef003291,,53.0,False,Deep downscaling,1,ML as a cheaper substitute for dynamical downscaling; framing of cost-vs-skill tradeoff.
Daniel S. Wilks,2018.0,Univariate Ensemble Postprocessing,Elsevier eBooks,10.1016/b978-0-12-812372-0.00003-0,,51.0,False,Post-processing,1,Wilks' textbook chapter on univariate ensemble postprocessing - the cleanest formal treatment of EMOS/BMA/logistic regression.
Manuel Gebetsberger et al.,2018.0,Estimation Methods for Nonhomogeneous Regression Models: Minimum Continuous Ranked Probability Score versus Maximum Likelihood,Monthly Weather Review,10.1175/mwr-d-17-0364.1,,49.0,False,Post-processing,1,Estimation choices for nonhomogeneous regression: minimum CRPS vs maximum likelihood. Matters for small per-station samples.
Marijn van der Meer et al.,2023.0,Deep Learning Regional Climate Model Emulators: A Comparison of Two Downscaling Training Frameworks,Journal of Advances in Modeling Earth Systems,10.1029/2022ms003593,,48.0,False,Deep downscaling,1,CRITICAL for framing. Directly compares a 'perfect model' training framework (upscaled RCM predictors) against an 'imperfect' one (actual GCM predictors). The perfect-framework emulator scored well on upscaled data but propagated GCM-RCM inconsistencies and underestimated when driven by real GCM output. This is the formal demonstration that skill measured in the perfect setting does not transfer.
Tilmann Gneiting et al.,2023.0,"Regression diagnostics meets forecast evaluation: conditional calibration, reliability diagrams, and coefficient of determination",Electronic Journal of Statistics,10.1214/23-ejs2180,,48.0,False,Verification,1,Conditional calibration and reliability diagnostics recast as regression diagnostics; introduces the diagnostic framework behind CORP.
Mikhail Varentsov; Daniel Fenner; Fred Meier; Timofey Samsonov; Matthias Demuzere,2021.0,Quantifying Local and Mesoscale Drivers of the Urban Heat Island of Moscow with Reference and Crowdsourced Observations,Frontiers in Environmental Science,10.3389/fenvs.2021.716968,,48.0,False,Regional,1,Varentsov et al.: local and mesoscale drivers of the Moscow UHI using reference AND crowdsourced (Netatmo) stations - the methodological template for getting urban observations without institutional access.
Frank Kaspar; Deborah Niermann; Michael Borsche; Stephanie Fiedler; Jan D. Keller; Roland Potthast et al.,2020.0,Regional atmospheric reanalysis activities at Deutscher Wetterdienst: review of evaluation results and application examples with a focus on renewable energy,Advances in science and research,10.5194/asr-17-115-2020,,48.0,False,Regional,1,DWD COSMO regional reanalyses (to 2 km): review of evaluation results and access. Useful model for what a regional reanalysis can and cannot add over a global one.
Alexander Henzi et al.,2021.0,Isotonic Distributional Regression,Journal of the Royal Statistical Society Series B (Statistical Methodology),10.1111/rssb.12450,,47.0,False,Post-processing,1,Isotonic distributional regression - the theory behind EasyUQ and IDR benchmarks.
Nigel Roberts et al.,2023.0,IMPROVER: The New Probabilistic Postprocessing System at the Met Office,Bulletin of the American Meteorological Society,10.1175/bams-d-21-0273.1,,47.0,False,Post-processing,1,"IMPROVER, the Met Office probabilistic postprocessing system - the framework used in the AIFS postprocessing test below."
Maxime Taillardat et al.,2019.0,Forest-Based and Semiparametric Methods for the Postprocessing of Rainfall Ensemble Forecasting,Weather and Forecasting,10.1175/waf-d-18-0149.1,,47.0,False,Post-processing,1,Forest-based and semiparametric postprocessing (rainfall); shows how tree methods handle the non-Gaussian case.
Hai Lin et al.,2023.0,Deep learning downscaled high-resolution daily near surface meteorological datasets over East Asia,Scientific Data,10.1038/s41597-023-02805-9,,46.0,False,Deep downscaling,1,U-Net downscaling producing a nine-variable 0.1 deg dataset over East Asia from CMIP6 + MSWX. Example of the bias-correct-then-U-Net production pipeline.
Ignacio Lopez‐Gomez et al.,2025.0,Dynamical-generative downscaling of climate model ensembles,Proceedings of the National Academy of Sciences,10.1073/pnas.2420288122,,46.0,False,Deep downscaling,1,Dynamical-generative downscaling of climate model ensembles; the hybrid framing where a dynamical step is followed by a generative step.
Christopher A. T. Ferro et al.,2012.0,A bias‐corrected decomposition of the Brier score,Quarterly Journal of the Royal Meteorological Society,10.1002/qj.1924,,44.0,False,Verification,1,Bias-corrected decomposition of the Brier score for finite ensembles.
Pedro M. M. Soares et al.,2024.0,High-resolution downscaling of CMIP6 Earth system and global climate models using deep learning for Iberia,Geoscientific model development,10.5194/gmd-17-229-2024,,42.0,False,Deep downscaling,1,Four CNN architectures downscaling seven CMIP6 models to 0.1 deg over Iberia. Useful for architecture-choice evidence at a regional scale.
Reinhold Hess,2020.0,Statistical postprocessing of ensemble forecasts for severe weather at Deutscher Wetterdienst,Nonlinear processes in geophysics,10.5194/npg-27-473-2020,,42.0,False,Post-processing,1,"DWD's operational Ensemble-MOS: what a national service actually runs, and how they treat extremes."
Seonaid R. A. Dey et al.,2016.0,A new method for the characterization and verification of local spatial predictability for convective‐scale ensembles,Quarterly Journal of the Royal Meteorological Society,10.1002/qj.2792,,41.0,False,Verification,1,Characterising local spatial predictability for convective-scale ensembles; the neighbourhood question posed as predictability.
Martin Göber; Ervin Zsótér; David Richardson,2008.0,Could a perfect model ever satisfy a naïve forecaster? On grid box mean versus point verification,Meteorological Applications,10.1002/met.78,,39.0,False,Regional,1,Grid box mean vs point verification: a PERFECT model scores badly against point observations; error from wrong-kind verification is of order the forecast error itself. Directly frames the 1.31 K ERA5 floor already measured.
Ilan Price et al.,2022.0,Increasing the accuracy and resolution of precipitation forecasts using deep generative models,arXiv (Cornell University),10.48550/arxiv.2203.12297,2203.12297,39.0,True,Deep downscaling,1,CorrectorGAN: simultaneous bias correction and super-resolution of global ensemble forecasts over CONUS with radar as ground truth. Preprint; the correct-then-downscale two-stage idea in early form.
Roger Randriamampianina; Niels Bormann; Morten A. Ø. Køltzow; Heather Lawrence; Irina Sandu; Zheng Qi Wang,2021.0,Relative impact of observations on a regional Arctic numerical weather prediction system,Quarterly Journal of the Royal Meteorological Society,10.1002/qj.4018,,37.0,False,Regional,1,Observing-system experiments in AROME-Arctic: relative impact of Arctic conventional and satellite observations on regional forecast skill.
Kalle Eerola; Laura Rontu; Ekaterina Kourzeneva; Ekaterina Shcherbak,,A study on effects of lake temperature and ice cover in HIRLAM,venue metadata unreliable in OpenAlex (DOI prefix 10.60910); verify at publisher,10.60910/mc88-ndnz,,36.0,False,Regional,1,"Eerola & Rontu: effects of lake temperature and ice cover in HIRLAM - different LST treatments give different screen-level temperature and ice cover, with local effects near lakes. [METADATA CAUTION: OpenAlex year/venue for this DOI are inconsistent with the work; cite from the publisher record.]"
Emy Alerskans et al.,2022.0,A transformer neural network for predicting <scp>near‐surface</scp> temperature,Meteorological Applications,10.1002/met.2098,,35.0,False,Post-processing,1,"Transformer postprocessing of 2m temperature trained on >1000 private weather stations; reports bias/STD for raw NWP, LR, NN and transformer. Coastal dependence noted."
José González-Abad et al.,2023.0,Using Explainability to Inform Statistical Downscaling Based on Deep Learning Beyond Standard Validation Approaches,Journal of Advances in Modeling Earth Systems,10.1029/2023ms003641,,34.0,False,Deep downscaling,1,"Explainability-based evaluation of perfect-prognosis DL downscaling models, arguing standard validation is insufficient and introducing saliency diagnostics. Read for why held-out RMSE is not enough."
Caren Marzban et al.,2010.0,On the Effect of Correlations on Rank Histograms: Reliability of Temperature and Wind Speed Forecasts from Finescale Ensemble Reforecasts,Monthly Weather Review,10.1175/2010mwr3129.1,,34.0,False,Verification,1,Spatial/temporal correlation distorts rank histograms; a U-shape can appear without genuine underdispersion.
Jordi Mazón; Sami Niemelä; David Pino; Hannu Savijärvi; Timo Vihma,2015.0,Snow bands over the Gulf of Finland in wintertime,Tellus A Dynamic Meteorology and Oceanography,10.3402/tellusa.v67.25102,,32.0,False,Regional,1,"Snow bands over the Gulf of Finland: WRF + radar for Jan 2006 and Feb 2012. Bands >300 km long, easterly winds 12-14 m/s, ~18 K land-sea potential temperature contrast driving colliding land breezes with ~86 cm/s updraught. The single most on-domain mesoscale paper found."
Mikhail Varentsov; Pavel Konstantinov; Irina Repina; Arseniy Artamonov; A.S. Pechkin; Andrei Soromotin et al.,2022.0,Observations of the urban boundary layer in a cold climate city,Urban Climate,10.1016/j.uclim.2022.101351,,31.0,False,Regional,1,"Varentsov et al.: urban boundary-layer observations in a cold-climate city (Nadym) - vertical structure, not just screen level."
Neelesh Rampal et al.,2025.0,A Reliable Generative Adversarial Network Approach for Climate Downscaling and Weather Generation,Journal of Advances in Modeling Earth Systems,10.1029/2024ms004668,,31.0,False,Deep downscaling,1,"A GAN design aimed at reliability (calibrated ensembles) rather than only sharpness, for downscaling and weather generation."
Ophélia Miralles et al.,2022.0,Downscaling of Historical Wind Fields over Switzerland Using Generative Adversarial Networks,Artificial Intelligence for the Earth Systems,10.1175/aies-d-22-0018.1,,29.0,False,Deep downscaling,1,GAN downscaling of historical WIND fields over Switzerland. Wind-specific generative downscaling in complex terrain.
Hilde Haakenstad; Øyvind Breivik,2022.0,NORA3. Part II: Precipitation and Temperature Statistics in Complex Terrain Modeled with a Nonhydrostatic Model,Journal of Applied Meteorology and Climatology,10.1175/jamc-d-22-0005.1,,29.0,False,Regional,1,NORA3: 3 km convection-permitting hindcast over Scandinavia/Nordic seas driven by ERA5 - precipitation and temperature statistics in complex terrain.
